Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS
Paul Watson,SF-SG,25,TOT,5,0,25,0,8,0,0,4,0,0,4,0,0,1,2,0.5,0,4,4,5,1,1,0,1,1
Paul Watson,SG,25,ATL,2,0,17,0,7,0,0,3,0,0,4,0,0,0,0,,0,2,2,3,1,0,0,1,0
Paul Watson,SF,25,TOR,3,0,8,0,1,0,0,1,0,0,0,,0,1,2,0.5,0,2,2,2,0,1,0,0,1
Quinndary Weatherspoon,SG,23,SAS,3,0,15,0,3,0,0,1,0,0,2,0,0,0,0,,0,1,1,1,0,0,0,0,0
Russell Westbrook,PG,31,HOU,53,53,1905,568,1199,0.474,51,201,0.254,517,998,0.518,0.495,269,346,0.777,94,332,426,370,88,17,236,187,1456
Coby White,SG,19,CHI,65,1,1674,312,792,0.394,133,376,0.354,179,416,0.43,0.478,102,129,0.791,28,202,230,175,49,6,109,117,859
Derrick White,SG,25,SAS,61,13,1468,213,464,0.459,57,160,0.356,156,304,0.513,0.52,150,175,0.857,30,163,193,206,39,55,75,133,633
Hassan Whiteside,C,30,POR,61,61,1911,418,676,0.618,4,7,0.571,414,669,0.619,0.621,153,225,0.68,244,625,869,74,24,187,117,179,993
Andrew Wiggins,SF-SG,24,TOT,54,54,1858,437,978,0.447,111,334,0.332,326,644,0.506,0.504,190,268,0.709,66,208,274,198,45,53,132,127,1175
Andrew Wiggins,SF,24,MIN,42,42,1455,351,790,0.444,91,275,0.331,260,515,0.505,0.502,149,207,0.72,48,171,219,155,29,36,107,101,942
Andrew Wiggins,SG,24,GSW,12,12,403,86,188,0.457,20,59,0.339,66,129,0.512,0.511,41,61,0.672,18,37,55,43,16,17,25,26,233
Grant Williams,PF,21,BOS,62,5,970,80,192,0.417,21,85,0.247,59,107,0.551,0.471,37,51,0.725,58,107,165,62,28,33,46,149,218
Johnathan Williams,C,24,WAS,11,5,135,16,25,0.64,0,2,0,16,23,0.696,0.64,3,5,0.6,15,28,43,6,1,6,4,11,35
Kenrich Williams,PF,25,NOP,35,18,779,49,143,0.343,25,96,0.26,24,47,0.511,0.43,9,24,0.375,49,129,178,53,25,21,21,81,132
Lou Williams,SG,33,LAC,60,8,1757,367,883,0.416,107,295,0.363,260,588,0.442,0.476,278,322,0.863,28,158,186,344,40,10,172,77,1119
Marvin Williams,PF,33,TOT,52,1,1011,110,249,0.442,52,144,0.361,58,105,0.552,0.546,47,54,0.87,20,128,148,56,35,26,28,94,319
Marvin Williams,PF,33,CHO,41,1,808,94,210,0.448,44,117,0.376,50,93,0.538,0.552,43,50,0.86,15,94,109,41,26,22,25,71,275
Marvin Williams,PF,33,MIL,11,0,203,16,39,0.41,8,27,0.296,8,12,0.667,0.513,4,4,1,5,34,39,15,9,4,3,23,44
Robert Williams,C,22,BOS,23,1,323,42,62,0.677,0,0,,42,62,0.677,0.677,14,25,0.56,34,74,108,22,20,28,20,40,98
Nigel Williams-Goss,PG,25,UTA,9,0,28,1,7,0.143,0,2,0,1,5,0.2,0.143,2,2,1,2,3,5,5,1,1,2,2,4
Zion Williamson,PF,19,NOP,19,19,565,172,292,0.589,6,13,0.462,166,279,0.595,0.599,98,152,0.645,55,74,129,41,16,9,51,32,448
D.J. Wilson,PF,23,MIL,31,0,280,40,101,0.396,14,55,0.255,26,46,0.565,0.465,6,9,0.667,10,58,68,22,2,5,15,26,100
Justise Winslow,SF,23,MIA,11,5,352,50,129,0.388,6,27,0.222,44,102,0.431,0.411,18,27,0.667,16,57,73,44,7,5,24,38,124
Christian Wood,PF,24,DET,62,12,1325,288,508,0.567,54,140,0.386,234,368,0.636,0.62,180,242,0.744,104,286,390,60,34,54,84,98,810
Delon Wright,SG,27,DAL,65,5,1412,179,381,0.47,45,117,0.385,134,264,0.508,0.529,71,90,0.789,66,193,259,220,76,21,68,83,474
Justin Wright-Foreman,PG,22,UTA,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Thaddeus Young,PF,31,CHI,64,16,1591,269,601,0.448,79,222,0.356,190,379,0.501,0.513,42,72,0.583,94,221,315,117,92,23,102,134,659
Trae Young,PG,21,ATL,60,60,2120,546,1249,0.437,205,568,0.361,341,681,0.501,0.519,481,559,0.86,32,223,255,560,65,8,289,104,1778
Cody Zeller,C,27,CHO,58,39,1341,251,479,0.524,18,75,0.24,233,404,0.577,0.543,122,179,0.682,160,251,411,88,40,25,75,140,642
Ante Žižić,C,23,CLE,22,0,221,41,72,0.569,0,0,,41,72,0.569,0.569,14,19,0.737,18,48,66,6,7,5,10,27,96
Ivica Zubac,C,22,LAC,64,62,1156,202,336,0.601,0,2,0,202,334,0.605,0.601,107,141,0.759,166,295,461,69,13,60,53,146,511
