Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,TOV,PTS
Juan Toscano-Anderson,SF,26,GSW,13,6,272,29,63,0.46,8,23,0.348,21,40,0.525,0.524,3,5,0.6,9,43,52,26,13,5,16,30,69
Karl-Anthony Towns,C,24,MIN,35,35,1187,316,622,0.508,114,277,0.412,202,345,0.586,0.6,180,226,0.796,95,283,378,153,33,42,110,117,926
Gary Trent Jr.,SG,21,POR,53,8,1059,149,350,0.426,78,201,0.388,71,149,0.477,0.537,30,36,0.833,20,68,88,50,39,13,19,69,406
Allonzo Trier,PG,24,NYK,24,1,291,51,106,0.481,19,53,0.358,32,53,0.604,0.571,34,43,0.791,6,23,29,28,3,4,22,29,155
P.J. Tucker,PF,34,HOU,64,64,2203,162,374,0.433,95,257,0.37,67,117,0.573,0.56,37,44,0.841,102,339,441,101,70,31,67,209,456
Rayjon Tucker,SG,22,UTA,14,0,78,8,19,0.421,0,6,0,8,13,0.615,0.421,3,5,0.6,2,11,13,2,1,0,3,7,19
Evan Turner,PG,31,ATL,19,0,251,25,67,0.373,0,5,0,25,62,0.403,0.373,12,14,0.857,8,30,38,38,9,8,26,20,62
Myles Turner,C,23,IND,55,55,1628,233,517,0.451,77,229,0.336,156,288,0.542,0.525,108,144,0.75,70,290,360,61,42,120,68,138,651
Jarrod Uthoff,SF,26,MEM,4,0,14,1,7,0.143,0,4,0,1,3,0.333,0.143,2,2,1,1,0,1,0,1,0,0,1,4
Jonas Valančiūnas,C,27,MEM,62,62,1630,385,657,0.586,29,79,0.367,356,578,0.616,0.608,123,168,0.732,190,506,696,109,25,69,107,159,922
Denzel Valentine,SF,26,CHI,36,5,488,97,237,0.409,46,137,0.336,51,100,0.51,0.506,6,8,0.75,9,65,74,43,26,6,26,51,246
Jarred Vanderbilt,SF-PF,20,TOT,11,0,46,5,8,0.625,0,1,0,5,7,0.714,0.625,2,2,1,3,6,9,2,3,1,7,6,12
Jarred Vanderbilt,SF,20,DEN,9,0,41,5,7,0.714,0,0,,5,7,0.714,0.714,0,0,,3,5,8,2,3,1,7,6,10
